canonical_model_id,alignment_status,observations
v5k_active_model_registry,daily_nav_unavailable,not_available
v5k_experiment_catalog,daily_nav_unavailable,not_available
v5k_historical_platform_contract_archive,daily_nav_unavailable,not_available
v5k_reproducibility_provenance,daily_nav_unavailable,not_available
v5k_strategy_development_workflow_audit,daily_nav_unavailable,not_available
v5k_workflow_activation_repair,daily_nav_unavailable,not_available
v5k_workflow_repair_closeout,daily_nav_unavailable,not_available
v5l_candidate_hardening_closeout,daily_nav_unavailable,not_available
v5l_cash_constrained_nav_validation,daily_nav_unavailable,not_available
v5l_primary_candidate_risk_observation,daily_nav_unavailable,not_available
v5l_qmt_execution_evidence_and_forward_readiness,daily_nav_unavailable,not_available
v5m_forward_paper_cycle_readiness,daily_nav_unavailable,not_available
v5m_p0_closure,daily_nav_unavailable,not_available
v5m_qmt_historical_contract_recovery,daily_nav_unavailable,not_available
v5m_strict_cash_state_nav_repair,daily_nav_unavailable,not_available
v5m_workflow_test_isolation_repair,daily_nav_unavailable,not_available
